name|description|price|department_id|category_id|brand_id|store_id|image
Beatrice 2% Partly Skimmed Milk Jug|4000 ml|5.20|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_54937307-697c-41f2-98f4-7a0b7002fd60.png
Beatrice 3.25% Partly Skimmed|4000 ml|5.65|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_54937307-697c-41f2-98f4-7a0b7002fd60.png
Dairyland 3.25% Organic Milk|4000 ml|8.75|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_21a891f7-9678-42b6-b9ea-e92f34a92dc2.png
Beatrice 2% Partly Skimmed Milk|2000 ml|4.00|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a6e744fd-e04a-46d8-83cd-cfcdd1f6b157.png
Beatrice 2% Milk|1000 ml|2.50|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_608356b3-51df-4dc6-b7c2-3d70eaf781e2.png
Beatrice 1% Chocolate Milk Jug|4000 ml|6.50|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_394a9b44-b8ee-4912-8e3b-e68c680c82ac.png
Valley Pride Whole Milk|2000 ml|7.65|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fbb33512-b617-4bc8-9e2b-257b1a4ea39f.png
Silk Vanilla True Almond|1890 ml|4.35|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ef1584e4-c0b9-4516-a354-b987050f6e19.png
No Name Evaporated Milk|354 ml|1.30|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b2143a8d-5ccd-4f08-8768-a667332da2ee.png
Milk 2 Go 1% Chocolate Milk|1.2 ml|6.00|2|5|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4d7dfb32-944a-4b35-aebb-8cf2aa362297.png
Kraft Singles Thick Cheese Slices|450 gm|5.15|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2d4d514f-5248-4e6d-b46f-a42ae97bad88.png
Kraft Mild Three-Cheese Singles|450 gm|5.15|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_78257441-8a33-47b0-8f97-bbd62b128266.png
Cracker Barrel Marble Cheese Slices|240 gm|4.90|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_521f54cc-3e9c-4f30-aa9b-e5423905e7c7.png
Dairyland Cottage Cheese|750 gm|6.20|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e9ff62a9-5aa7-45f5-9f6e-b7b59623e861.png
Ziggy's Light Swiss Slices|200 gm|5.50|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_23e87623-8890-42b6-bd2c-a7a527973319.png
Ziggy's Col Mild Cheddar Sliced|200 gm|5.50|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2791ee96-85b1-4079-accd-e7360f93e19e.png
Armstrong Marble Cheese Sticks|630 gm|14.20|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_94d4b3ba-af9b-43df-b25c-e9adeac18cc7.png
The Laughing Cow Garlic & Harb |133 gm|4.35|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_027b0734-cb53-45c1-8c70-cbcfd38237a7.png
Balderson Extra Old White Cheddar|280 gm|7.75|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dbe5a3fd-41aa-4073-bfa6-d2f7bd173e6c.png
Rosenborg Castello Traditional Blue Cheese|125 gm|6.55|2|6|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cbbe6378-320b-4304-b67f-3f5524b175bf.png
Danone 4% Greek Yogurt|750 gm|6.20|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9e234411-f7b3-4223-9706-035f90d47fc7.png
Liberté 2% Plain Greek|750 gm|6.45|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e439caf4-fd01-42e8-bbb8-f1ac94d6b1e2.png
Astro 2% Plain Yogurt|750 gm|3.25|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fe3cb28a-f82a-4ba6-8479-e3f06d39ab87.png
Wfm Olympic Krema Plain Greek Yogurt|650 gm|5.15|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b8016150-6c95-4017-b813-3bf8a7e71228.png
Danone Activia Vanilla & Blueberry Probiotic Yogurt|1.2 kg|7.25|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3305fe94-9995-466e-a037-e548442a2cd6.png
Minigo by Yoplait|360 gm|3.45|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ec2222dd-7034-44db-a8ac-29e4f388b7cf.png
Danone Oikos Vanilla Grekk Non Fat Yogurt|400 gm|4.70|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b27eba3a-97b4-48c8-bcf7-c588af39dead.png
Foremost Dairies Stirred Peach Yogurt|650 gm|2.20|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1a2a11db-abaa-4e68-9d96-0aabee54df76.png
Iogo Nano Drinkable Banana Yoghurt|93 ml|4.30|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4d43d0b4-97da-4f42-9310-ad9361a3147b.png
Liberté Kefir Raspberry Probiotic Fermented Milk|800 ml|5.75|2|7|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6523d413-8d81-4f4c-9465-530fec530eb4.png
Dairyland Sour Cream|500 ml|3.65|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0280b3fe-b898-4704-8541-1a5573704380.png
Lactantia 10% Half & Half Cream|1000 ml|3.35|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_44258b8b-3468-4a3e-87fb-98a4bcceca8c.png
Foremost 14% Sour Cream|500 ml|3.25|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_064ce950-1b2f-4e40-89cf-b6d38e7a2069.png
Lactantia 35% Whipping Cream|227 ml|2.80|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f0b19698-afbf-47c6-8da3-3d4214f671b0.png
No Name Salted Butter|454 gm|4.00|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3a5ce31f-8790-4b0c-a98d-0a3172b14bb7.png
Becel Buttery Taste R|680 gm|6.45|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_06cd03d9-16d1-4c84-8213-0bf0be7a409d.png
Gay Lea Light Spreadable Butter Blend|227 gm|5.45|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_790fb001-9ecc-4ca3-9163-ed8ea0799648.png
Nanak's Small Desi Ghee|400 gm|9.85|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_03e90675-502c-4b12-9d96-e9dba8a9501d.png
Melt Organic Creamy Butter Spread|368 gm|5.45|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_697489bb-4972-42c7-978b-da2ba0ac44bf.png
Parkay Vegetable Oil Margarine|1280 gm|6.45|2|8|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2bfb5956-f165-4007-9337-26e358895aa3.png
Fresh Farmed Atlantic Salmon Fillet|1 kg|26.45|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_762d0f94-f334-4ac6-989f-5143a62bf160.png
Fresh Farmed Atlantic Salmon Steak|1 kg|28.45|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12bf5a67-9410-44d7-b397-ba457080df77.png
Whole Trout Rainbow Dressed|1 kg|22.85|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c3f6e964-4a07-4b83-aa27-9df2f9390874.png
Wild Sole Fish Fillets|1 kg|11.00|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_afde7d6e-3f77-44b2-a275-9e517ecb668d.png
Orion 10-14 Count Whole Cooked Lobster|370 g|15.30|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e867be35-03a9-4a3a-8c8f-ae4c6daf4c8e.png
Fresh Whole Tilapia|1 kg|22.95|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fc8e54de-f801-4b39-9896-2b09f51dc690.png
Chub Mackerel|1 kg|13.15|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76cd4b5c-6901-4914-b839-4f3b8d3a8b09.png
Mussels Live Net|1 kg|14.25|3|9|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eb70f006-a98c-4b1f-83fc-90a52654a4e8.png
